,PName,geometry,polygon,pname,Status,color
82,R2-S14,"
								0.6064216280590995,41.60569737640149,196.8064178405696 0.6064034222826331,41.60568309719345,196.8073759083681 0.606447122492404,41.60565101714694,196.8044054876617 0.6064654488087484,41.60566485465334,196.8074803702498 0.6064216280590995,41.60569737640149,196.8064178405696 
							","[[1765  236]
 [1775  243]
 [1638  250]
 [1631  241]]",R2-S14,Free,green
83,R2-S15,"
								0.606441950165677,41.60571287231396,196.8216296509939 0.6064240082882533,41.6056985584628,196.8137819625654 0.6064670120863558,41.60566684439924,196.7868663090094 0.6064859588593263,41.60567996860972,196.7613259709679 0.606441950165677,41.60571287231396,196.8216296509939 
							","[[1628  233]
 [1633  245]
 [1766  238]
 [1758  229]]",R2-S15,Free,green
84,R2-S16,"
								0.6064625933184442,41.60572852700022,196.8227955504472 0.606444534808237,41.60571464638008,196.8216344395787 0.6064876619834081,41.60568168899529,196.7851043205751 0.6065061267043403,41.60569509661041,196.7829978058405 0.6064625933184442,41.60572852700022,196.8227955504472 
							","[[1619  226]
 [1628  233]
 [1756  226]
 [1743  219]]",R2-S16,Free,green
85,R2-S17,"
								0.6064816361383252,41.60574323606911,196.8602661659017 0.6064641422180128,41.60572962044789,196.8283205474755 0.6065072433245167,41.60569693892622,196.783002491156 0.6065274307367385,41.6057112586421,196.7871007982987 0.6064816361383252,41.60574323606911,196.8602661659017 
							","[[1731  209]
 [1738  216]
 [1618  224]
 [1611  218]]",R2-S17,Free,green
86,R2-S18,"
								0.6065028331448352,41.60575832657537,196.8339016551178 0.6064849272345807,41.6057446581122,196.8602682779717 0.6065290729685291,41.60571196447108,196.7827691067072 0.606547066487404,41.60572565052673,196.76649946465 0.6065028331448352,41.60575832657537,196.8339016551178 
							","[[1604  213]
 [1609  219]
 [1726  211]
 [1717  202]]",R2-S18,Free,green
87,R2-S19,"
								0.6065228898625219,41.60577388609458,196.8392796418845 0.6065049926372201,41.60575976201685,196.823063995542 0.6065483594331345,41.60572769429356,196.7722838813162 0.6065662401360927,41.60574101890376,196.7793219763688 0.6065228898625219,41.60577388609458,196.8392796418845 
							","[[1597  202]
 [1604  213]
 [1712  202]
 [1706  194]]",R2-S19,Free,green
88,R2-S20,"
								0.6065430793749038,41.60578898850559,196.8600801141736 0.6065259533354372,41.60577535493134,196.8569460625016 0.60656823389589,41.60574269883035,196.7700522989313 0.6065874304387653,41.60575659269293,196.7829964081679 0.6065430793749038,41.60578898850559,196.8600801141736 
							","[[1589  194]
 [1596  201]
 [1706  196]
 [1695  187]]",R2-S20,Free,green
89,R2-S21,"
								0.606563959327131,41.60580457547621,196.8602698935002 0.6065464971945111,41.60579080797925,196.84878049409 0.6065896185798536,41.60575803168473,196.7829986475563 0.6066074255928378,41.60577197877065,196.8005700900946 0.606563959327131,41.60580457547621,196.8602698935002 
							",,,,yellow
90,R2-S22,"
								0.6065839904375414,41.60582011478314,196.8658940729423 0.6065662838472874,41.60580639284255,196.86542229336 0.6066100037880351,41.60577292727233,196.7882210159259 0.6066282497308517,41.60578738729112,196.8176848657394 0.6065839904375414,41.60582011478314,196.8658940729423 
							",,,,yellow
91,R2-S23,"
								0.6066051301047182,41.60583565941405,196.8602694238369 0.6065870916101801,41.60582179222269,196.8603668747211 0.6066302933126555,41.60578843438515,196.819884973612 0.6066484198151745,41.60580251061985,196.8216308789087 0.6066051301047182,41.60583565941405,196.8602694238369 
							",,,,yellow
92,R2-S24,"
								0.6066240990775706,41.60585014736179,196.8602688127088 0.6066066493179934,41.60583637058956,196.8602670161054 0.6066500552141907,41.60580388081054,196.8216380794691 0.6066675947465572,41.60581786794535,196.8216288022049 0.6066240990775706,41.60585014736179,196.8602688127088 
							",,,,yellow
93,R2-S25,"
								0.6066446497278921,41.60586559224731,196.8602666963948 0.606627130565891,41.60585162134643,196.8602688183674 0.6066702307162197,41.60581900691297,196.8216311660823 0.6066890700067273,41.60583273403916,196.8216308025177 0.6066446497278921,41.60586559224731,196.8602666963948 
							",,,,yellow
94,R2-S26,"
								0.6066653122339383,41.60588100939822,196.9240798092893 0.606647609858133,41.60586750587287,196.8818829596344 0.6066906679729467,41.60583408280232,196.8234652534869 0.6067093963730774,41.60584826416052,196.8493865223907 0.6066653122339383,41.60588100939822,196.9240798092893 
							",,,,yellow
95,R2-S27,"
								0.6066857183243557,41.60589685175032,196.9375326062849 0.6066675774066477,41.60588263120156,196.9341250295158 0.6067115145751512,41.60584951168384,196.8602688636362 0.6067300675761067,41.60586327719737,196.884431880192 0.6066857183243557,41.60589685175032,196.9375326062849 
							",,,,yellow
96,R2-S28,"
								0.6067058216424459,41.60591193022341,196.9338387669245 0.6066883451141014,41.6058979867129,196.937535004114 0.6067314690573578,41.60586486786661,196.8911594061645 0.6067502192687213,41.60587920077543,196.8894118726075 0.6067058216424459,41.60591193022341,196.9338387669245 
							",,,,yellow
97,R2-S29,"
								0.6067263934460265,41.60592747781819,196.9647615804121 0.6067085137761419,41.60591327234267,196.9243853153428 0.6067511525290303,41.60588025985204,196.8917934826989 0.6067702347577075,41.60589473686293,196.8882494362134 0.6067263934460265,41.60592747781819,196.9647615804121 
							",,,,yellow
98,R2-S30,"
								0.6067673727149048,41.60595807852214,196.9304720565182 0.6067510066753812,41.60594641585158,196.9375324322832 0.6067931456864417,41.60591248715475,196.8602654062355 0.606810844875616,41.60592538989363,196.8647334444689 0.6067673727149048,41.60595807852214,196.9304720565182 
							",,,,yellow
99,R2-S31,"
								0.6067870881020276,41.60597281953615,196.9318942294315 0.606770596575763,41.60596012942173,196.9274207363138 0.6068128667723061,41.60592723322563,196.8413275109551 0.6068316859575762,41.60594080907327,196.8937957930179 0.6067870881020276,41.60597281953615,196.9318942294315 
							",,,,yellow
100,R2-S32,"
								0.6068085209577978,41.60598846051774,196.9375358925132 0.6067903279635467,41.60597487137556,196.934797087945 0.6068335493458998,41.60594292318242,196.8875044243663 0.6068517124727224,41.60595567394754,196.8282274381472 0.6068085209577978,41.60598846051774,196.9375358925132 
							",,,,yellow
101,R2-S33,"
								0.6068293704941152,41.60600483796868,196.9375410856874 0.6068111659216058,41.60599042211656,196.937536114613 0.6068539878818235,41.60595813695318,196.8333726629104 0.6068720207998823,41.60597118792307,196.8657699842287 0.6068293704941152,41.60600483796868,196.9375410856874 
							",,,,yellow
102,R2-S34,"
								0.606848888454623,41.60601982131551,196.9375349843089 0.6068309610976441,41.60600618022877,196.9375338596634 0.6068741513531961,41.60597325757712,196.8730729240959 0.6068923056132514,41.60598668036121,196.870154685525 0.606848888454623,41.60601982131551,196.9375349843089 
							",,,,yellow
103,R2-S35,"
								0.6068679654634557,41.60603485020969,196.9375344467425 0.6068514026129845,41.60602114372958,196.9375325327232 0.6068945942233328,41.60598786945879,196.8642172859517 0.6069120343161227,41.60600164044687,196.8602659805827 0.6068679654634557,41.60603485020969,196.9375344467425 
							",,,,yellow
104,R2-S36,"
								0.6068891251806341,41.60605054293419,196.9375324464297 0.6068715080075138,41.60603621712526,196.9375344495718 0.6069150657881162,41.60600311445413,196.8602657457511 0.606932672798246,41.6060181079986,196.8602690475404 0.6068891251806341,41.60605054293419,196.9375324464297 
							",,,,yellow
105,R2-S37,"
								0.6069088329029881,41.60606528075747,196.9375310968551 0.6068917008551478,41.60605231082924,196.9375372689661 0.6069348376593364,41.6060187151098,196.8602689782227 0.6069529728885548,41.60603277989381,196.898900179711 0.6069088329029881,41.60606528075747,196.9375310968551 
							",,,,yellow
106,R2-S38,"
								0.6069303903238366,41.60608130902362,196.9375360693442 0.6069119959653002,41.60606713870947,196.9375334041466 0.6069551536299023,41.6060342139045,196.8992255743063 0.6069744881482686,41.60604861809588,196.9375345797194 0.6069303903238366,41.60608130902362,196.9375360693442 
							",,,,yellow
107,R2-S39,"
								0.6069498553296837,41.60609522123826,196.9075245412326 0.6069318410254554,41.60608184087075,196.9375360792467 0.6069765262419424,41.60604923997647,196.9375299255262 0.606993089129384,41.60606294643782,196.9375356407057 0.6069498553296837,41.60609522123826,196.9075245412326 
							",,,,yellow
108,R2-S40,"
								0.6069707202515739,41.60611059353648,196.9375348668931 0.6069523349566674,41.60609679288095,196.8989011006472 0.6069954057258586,41.60606476616037,196.9375333631218 0.6070137819039978,41.60607810988023,196.937531125148 0.6069707202515739,41.60611059353648,196.9375348668931 
							",,,,yellow
109,R2-S41,"
								0.6069903768924489,41.60612596426874,196.9375329373127 0.6069720700076808,41.60611281424138,196.9375324817959 0.6070168756829109,41.6060797741437,196.937540604707 0.6070337668997761,41.60609362245374,196.9375377909713 0.6069903768924489,41.60612596426874,196.9375329373127 
							",,,,yellow
110,R2-S42,"
								0.607011795729393,41.60614160513319,196.9375327420912 0.6069936785676622,41.60612820959711,196.937533092924 0.6070368606580256,41.60609528670085,196.9375329684349 0.6070547187695152,41.60610873405112,196.9375348881128 0.607011795729393,41.60614160513319,196.9375327420912 
							","[[758 170]
 [773 175]
 [790 165]
 [774 160]]",R2-S42,Free,green
111,R2-S43,"
								0.6070315679527116,41.60615742948556,196.9653037939235 0.6070135355871309,41.60614382519682,196.9375351300177 0.6070564185659388,41.60611037643655,196.9375395875748 0.6070755043431975,41.60612378957948,196.9671970405095 0.6070315679527116,41.60615742948556,196.9653037939235 
							","[[683 138]
 [693 142]
 [707 135]
 [697 131]]",R2-S43,Free,green
112,R2-S44,"
								0.6070523418947382,41.60617309515006,196.9761629094716 0.6070339855430396,41.60615846793163,196.9697015920346 0.6070770461552355,41.6061256599398,196.9725757940156 0.6070953765725196,41.60613942565939,196.9761668450234 0.6070523418947382,41.60617309515006,196.9761629094716 
							","[[714 135]
 [729 138]
 [714 145]
 [697 142]]",R2-S44,Free,green
113,R2-S45,"
								0.6070721234628418,41.60618764580966,196.9839346652327 0.6070542110957722,41.60617424664293,196.9761675735673 0.6070972457708157,41.60614057714772,196.9761691806079 0.6071164662777218,41.60615438333491,196.9761670685378 0.6070721234628418,41.60618764580966,196.9839346652327 
							","[[719 147]
 [731 152]
 [747 145]
 [734 140]]",R2-S45,Free,green
114,R2-S46,"
								0.6070925850345987,41.60620330150838,197.0148031449046 0.6070745532260524,41.60618954440241,196.9898958011914 0.6071180825731393,41.60615645708356,196.9761695370993 0.6071362152142279,41.60617048089052,196.976170177935 0.6070925850345987,41.60620330150838,197.0148031449046 
							","[[747 143]
 [764 148]
 [751 155]
 [734 148]]",R2-S46,Free,green
115,R2-S47,"
								0.6071126794571047,41.60621811651432,197.0101573221484 0.6070953851148264,41.60620489169268,197.0148006735138 0.6071380983080288,41.60617163284571,196.9761701142758 0.6071564443400024,41.60618557550344,196.9761696927106 0.6071126794571047,41.60621811651432,197.0101573221484 
							","[[752 155]
 [766 160]
 [785 153]
 [768 148]]",R2-S47,Free,green
116,R3-S1,"
								0.6062081546015685,41.60540145900639,196.6867680927992 0.6062267408383581,41.60541600092688,196.6899628074239 0.60618263440821,41.60544854995812,196.6670954404579 0.606164666768414,41.60543521464182,196.6670766539272 0.6062081546015685,41.60540145900639,196.6867680927992 
							",,,,yellow
117,R3-S2,"
								0.60622880797506,41.60541741881174,196.6925871641073 0.6062473909754784,41.60543131891251,196.7077130799101 0.6062027277487814,41.60546466399848,196.6406484542578 0.6061845285712963,41.60545022377812,196.6670954772387 0.60622880797506,41.60541741881174,196.6925871641073 
							",,,,yellow
118,R3-S3,"
								0.6062489396690518,41.60543286441218,196.7136458620711 0.6062673336961932,41.605446745237,196.7085547659996 0.6062235494754842,41.60547946571113,196.7537043277923 0.6062055228209551,41.60546580862305,196.6601495762369 0.6062489396690518,41.60543286441218,196.7136458620711 
							",,,,yellow
119,R3-S4,"
								0.6062696171198434,41.60544778096743,196.7057298602714 0.6062873530414947,41.60546220153947,196.7057305944739 0.606243341010535,41.60549385514457,196.7829990210235 0.6062259378852541,41.60548037180106,196.7664188494963 0.6062696171198434,41.60544778096743,196.7057298602714 
							",,,,yellow
120,R3-S5,"
								0.606289763749428,41.60546400411801,196.7057283862077 0.6063077250153426,41.60547768258375,196.7890276809796 0.6062646184653331,41.60550952055738,196.7782513294361 0.6062462456227258,41.60549629584145,196.7783676248516 0.606289763749428,41.60546400411801,196.7057283862077 
							",,,,yellow
121,R3-S6,"
								0.6063105500996291,41.60547893245956,196.7877047654566 0.6063289213655176,41.60549228322431,196.7921247480839 0.6062855767469233,41.60552524403129,196.8192670820699 0.6062672359435672,41.60551050191463,196.8203234537856 0.6063105500996291,41.60547893245956,196.7877047654566 
							",,,,yellow
122,R3-S7,"
								0.6063311137825855,41.60549362085509,196.7833338414211 0.6063487815433399,41.60550786147706,196.7714555084828 0.6063048711286356,41.60553957294508,196.791544450823 0.6062870650301799,41.60552661146985,196.803116902826 0.6063311137825855,41.60549362085509,196.7833338414211 
							",,,,yellow
123,R3-S8,"
								0.6063247786792636,41.60555469336202,196.8482200683951 0.6063080883532823,41.60554125705544,196.9163320841606 0.6063511346485506,41.60550886347256,196.7632990122114 0.6063666050111416,41.6055217144509,196.7678758538825 0.6063247786792636,41.60555469336202,196.8482200683951 
							",,,,yellow
124,R3-S9,"
								0.6063695143950953,41.60552324978801,196.7605541868997 0.6063896738095731,41.60553868534711,196.8384198270758 0.6063458280161371,41.60557110770134,196.6998431404769 0.6063264739174934,41.60555625705709,196.7886796010826 0.6063695143950953,41.60552324978801,196.7605541868997 
							",,,,yellow
125,R3-S10,"
								0.6063915150648613,41.60553971580984,196.8215811709933 0.6064096051298673,41.60555403996423,196.7829994425887 0.6063647902966429,41.60558615205701,196.736512151075 0.6063468055172772,41.60557277127214,196.6766328188851 0.6063915150648613,41.60553971580984,196.8215811709933 
							",,,,yellow
126,R3-S11,"
								0.6064119056979433,41.60555451859539,196.7539790072425 0.6064301661229754,41.6055690580793,196.7829994765403 0.6063854562924775,41.60560145852318,196.7057161664749 0.6063669162131857,41.60558819454934,196.7203948850407 0.6064119056979433,41.60555451859539,196.7539790072425 
							","[[1822  279]
 [1834  289]
 [1917  284]
 [1913  272]]",R3-S11,Free,green
127,R3-S12,"
								0.6064323979677644,41.60557059853356,196.7829993364901 0.6064500810668694,41.60558459102137,196.7829984891157 0.6064058671985029,41.60561660356259,196.7443640735462 0.6063882237330143,41.60560338691251,196.7097767845549 0.6064323979677644,41.60557059853356,196.7829993364901 
							","[[1812  267]
 [1820  277]
 [1917  272]
 [1919  260]]",R3-S12,Free,green
128,R3-S13,"
								0.6064522649004633,41.60558548814097,196.7829984763839 0.6064708064166258,41.60559973737356,196.7829960813841 0.6064263179810303,41.60563273307213,196.775898083045 0.6064073018957039,41.60561861013206,196.7443616912783 0.6064522649004633,41.60558548814097,196.7829984763839 
							","[[1799  257]
 [1812  265]
 [1919  258]
 [1917  246]]",R3-S13,Free,green
129,R3-S14,"
								0.6064728665822239,41.60560089272543,196.7829961351408 0.6064910647505561,41.60561514195589,196.7829984891157 0.6064473827998595,41.60564770153273,196.8224277503516 0.6064283587447483,41.60563402123862,196.7696257286825 0.6064728665822239,41.60560089272543,196.7829961351408 
							","[[1908  235]
 [1919  243]
 [1793  253]
 [1785  245]]",R3-S14,Free,green
130,R3-S15,"
								0.6064931399707119,41.60561647059102,196.7854696634265 0.6065109432818372,41.60563025184769,196.7836445194291 0.6064666020551868,41.60566312528562,196.8231614888657 0.6064491822147566,41.60564889030326,196.7981093898405 0.6064931399707119,41.60561647059102,196.7854696634265 
							","[[1891  228]
 [1902  233]
 [1787  243]
 [1778  238]]",R3-S15,Free,green
131,R3-S16,"
								0.6065138347859134,41.60563164304995,196.7846019110257 0.6065318990353097,41.60564546344019,196.8250430872367 0.6064879613186247,41.60567879148365,196.7430629167302 0.6064688631875281,41.60566469644026,196.8039410741536 0.6065138347859134,41.60563164304995,196.7846019110257 
							","[[1876  219]
 [1890  224]
 [1775  235]
 [1765  226]]",R3-S16,Free,green
132,R3-S17,"
								0.6065335748868272,41.60564702935324,196.8269555900167 0.606552610251252,41.60566094990646,196.8267741811647 0.6065079671134654,41.60569366608937,196.78329489898 0.6064896831721844,41.60568004326594,196.7600642757689 0.6065335748868272,41.60564702935324,196.8269555900167 
							","[[1859  211]
 [1868  216]
 [1760  226]
 [1750  219]]",R3-S17,Free,green
133,R3-S18,"
								0.6065542214841191,41.60566236936324,196.8270146515873 0.6065730413230863,41.60567659816972,196.821649289143 0.6065286090721878,41.60570945570376,196.7915668913905 0.606509112322613,41.60569504788238,196.7850610422367 0.6065542214841191,41.60566236936324,196.8270146515873 
							","[[1851  202]
 [1858  209]
 [1743  218]
 [1738  213]]",R3-S18,Free,green
134,R3-S19,"
								0.6065749242580543,41.60567816255143,196.8216397204612 0.6065929239553669,41.60569146460257,196.8342213698998 0.6065482031442726,41.60572436174219,196.7456142690683 0.6065302713330567,41.60571039630717,196.7864381883061 0.6065749242580543,41.60567816255143,196.8216397204612 
							","[[1834  196]
 [1844  201]
 [1739  209]
 [1729  204]]",R3-S19,Free,green
135,R3-S20,"
								0.6065944302624859,41.60569277875647,196.8424532457111 0.6066128276403471,41.60570653510646,196.8411090779252 0.6065689295920507,41.60573954185072,196.761492219033 0.6065500120841305,41.60572558881461,196.7447254016255 0.6065944302624859,41.60569277875647,196.8424532457111 
							","[[1721  197]
 [1726  202]
 [1831  197]
 [1826  191]]",R3-S20,Free,green
136,R3-S21,"
								0.6066145072883877,41.6057079472505,196.8477045478844 0.6066335359160413,41.60572233152723,196.8602665917108 0.6065893021308666,41.60575519975307,196.7829987989237 0.6065710150975989,41.60574095371743,196.7571255446013 0.6066145072883877,41.6057079472505,196.8477045478844 
							",,,,yellow
137,R3-S22,"
								0.6066350450107705,41.6057230530942,196.8602690249061 0.6066533849875677,41.60573740128241,196.8338231011069 0.6066093023256869,41.60577039924814,196.7829980123792 0.6065908687114718,41.60575614591594,196.783001075093 0.6066350450107705,41.6057230530942,196.8602690249061 
							",,,,yellow
138,R3-S23,"
								0.6066559006734074,41.60573834287992,196.8372846721761 0.6066740774080848,41.60575272100137,196.8236280002973 0.6066303092687919,41.60578558006259,196.8062295409652 0.606611190055919,41.60577165222123,196.7837737815119 0.6066559006734074,41.60573834287992,196.8372846721761 
							",,,,yellow
139,R3-S24,"
								0.6066757242600795,41.60575347925334,196.8266297073677 0.6066939774671853,41.60576773772885,196.8598301005329 0.6066502253925221,41.60580051140418,196.8216285277631 0.6066315736318462,41.60578673939562,196.8100283811884 0.6066757242600795,41.60575347925334,196.8266297073677 
							",,,,yellow
140,R3-S25,"
								0.6066959984510456,41.60576894682073,196.8602663031226 0.6067149893797152,41.60578329801331,196.860268695293 0.6066708587457681,41.60581639340353,196.8216309751048 0.6066514391180622,41.60580202399533,196.8216333064454 0.6066959984510456,41.60576894682073,196.8602663031226 
							",,,,yellow
141,R3-S26,"
								0.606717220268389,41.6057843638622,196.8716698729851 0.6067355975885946,41.6057987085137,196.8672942240239 0.6066912898259558,41.60583091408024,196.821633283811 0.6066726793375055,41.60581745221086,196.8216333573727 0.606717220268389,41.6057843638622,196.8716698729851 
							",,,,yellow
142,R3-S27,"
								0.6067366709251543,41.60579936165958,196.8618943809395 0.6067560633385893,41.60581401342162,196.8602672877178 0.6067108082723549,41.60584679451794,196.8602689640762 0.6066929167473334,41.60583260067736,196.8225575075612 0.6067366709251543,41.60579936165958,196.8618943809395 
							",,,,yellow
143,R3-S28,"
								0.6067574775567719,41.60581537300479,196.8602649761823 0.6067766749403947,41.60582942091644,196.8787380731703 0.60673206976674,41.60586217095574,196.8885184584847 0.606713030628514,41.60584785197472,196.860266603028 0.6067574775567719,41.60581537300479,196.8602649761823 
							",,,,yellow
144,R3-S29,"
								0.6067777500966387,41.60583054501694,196.8851636410276 0.6067963288521727,41.60584473564137,196.8892870992041 0.6067521102212559,41.60587809208619,196.8842406126552 0.6067331587360347,41.60586329870377,196.8907444784721 0.6067777500966387,41.60583054501694,196.8851636410276 
							",,,,yellow
145,R3-S30,"
								0.6067979271783841,41.60584578737136,196.8793408647554 0.6068165226393551,41.60585982783707,196.8989032424248 0.6067722882840165,41.60589319066633,196.880557418524 0.6067533290513327,41.60587914718471,196.8866764504637 0.6067979271783841,41.60584578737136,196.8793408647554 
							",,,,yellow
146,R3-S31,"
								0.6068402082006674,41.60587792187685,196.8977968954251 0.6068575956593403,41.60589151108268,196.9019164435135 0.6068137901728221,41.60592379842667,196.8697468296599 0.6067958382929195,41.60591039681341,196.8602652859904 0.6068402082006674,41.60587792187685,196.8977968954251 
							",,,,yellow
147,R3-S32,"
								0.6068596998216846,41.60589249450561,196.900768102676 0.6068781284710711,41.60590588157808,196.898903696527 0.6068333464995801,41.6059389617233,196.8918456832249 0.60681561625201,41.6059253749319,196.8635923239969 0.6068596998216846,41.60589249450561,196.900768102676 
							",,,,yellow
148,R3-S33,"
								0.6068797083549549,41.6059078504469,196.8989038577969 0.6068981435698295,41.60592163296571,196.9021959143778 0.6068540335450168,41.60595456387917,196.8334811155152 0.6068356996041313,41.60594054001541,196.8849695159011 0.6068797083549549,41.6059078504469,196.8989038577969 
							",,,,yellow
149,R3-S34,"
								0.6068564179448743,41.60595613724178,196.8388739292117 0.6069005136680472,41.60592320795459,196.9026981654866 0.6069184249255044,41.60593698295364,196.9207246876828 0.606874391800718,41.60597010608174,196.8659326730385 0.6068564179448743,41.60595613724178,196.8388739292117 
							",,,,yellow
150,R3-S35,"
								0.6069205694332358,41.60593798249307,196.9237711669604 0.6069392799881412,41.60595235847116,196.9375319852543 0.6068946173230549,41.60598559821835,196.8706121474508 0.6068759306040228,41.60597102045465,196.8769259014987 0.6069205694332358,41.60593798249307,196.9237711669604 
							",,,,yellow
151,R3-S36,"
								0.606940595293326,41.60595334197071,196.9375343222534 0.6069590459013074,41.60596712337003,196.9626499191866 0.6069148806172375,41.6060007732216,196.8602211277406 0.6068961845398313,41.60598658334722,196.8660612419435 0.606940595293326,41.60595334197071,196.9375343222534 
							",,,,yellow
152,R3-S37,"
								0.606960887423762,41.60596810666591,196.9635483751163 0.6069792728950474,41.60598284751823,196.9457885820463 0.6069357030607869,41.60601535727368,196.8602691182729 0.606916725737674,41.60600156153183,196.8602705131162 0.606960887423762,41.60596810666591,196.9635483751163 
							",,,,yellow
153,R3-S38,"
								0.6069819116938668,41.60598403111067,196.9525162197761 0.6069997884518208,41.60599799471261,196.9412483825981 0.6069557972732609,41.60603128162237,196.8989049301004 0.6069370250158723,41.60601693847232,196.8602690206621 0.6069819116938668,41.60598403111067,196.9525162197761 
							",,,,yellow
154,R3-S39,"
								0.607001345609044,41.60599890706995,196.937880963453 0.6070202853175055,41.60601306915665,196.9375351667985 0.606976091067446,41.60604611438951,196.937534589622 0.6069573208727275,41.60603215865194,196.9064152800572 0.607001345609044,41.60599890706995,196.937880963453 
							",,,,yellow
155,R3-S40,"
								0.6070218835936569,41.60601478053155,196.9375326897492 0.6070397717237541,41.60602854939452,196.9375320319377 0.6069958404998954,41.60606139792193,196.9375332018519 0.6069779523727759,41.60604782572413,196.9375323021355 0.6070218835936569,41.60601478053155,196.9375326897492 
							",,,,yellow
156,R3-S41,"
								0.607042139257663,41.60602992629516,196.9375320078886 0.6070605535073481,41.60604408856415,196.9375321620853 0.6070168853673241,41.60607674037112,196.9375356704134 0.6069979449717322,41.60606238140885,196.9375331480953 0.607042139257663,41.60602992629516,196.9375320078886 
							",,,,yellow
157,R3-S42,"
								0.6070623949382958,41.60604526872817,196.9375322186713 0.6070803137524483,41.60605904238971,196.9692440862547 0.6070368779607049,41.60609188612715,196.9375308167547 0.6070182006377967,41.60607831396085,196.9375333942441 0.6070623949382958,41.60604526872817,196.9375322186713 
							",,,,yellow
158,R3-S43,"
								0.6070829485528861,41.60606041899564,196.976169562563 0.6071010820368206,41.60607476392607,196.9761649465653 0.6070576597701782,41.60610762197183,196.9375373411131 0.6070379302029982,41.60609306634175,196.9375331014119 0.6070829485528861,41.60606041899564,196.976169562563 
							","[[724 180]
 [705 192]
 [724 197]
 [744 186]]",R3-S43,Free,green
159,R3-S44,"
								0.6070586383782928,41.60610914652636,196.9375396724537 0.6071031727573573,41.60607555025366,196.9761696644177 0.607121306233418,41.60608930568313,196.9761698539805 0.6070774004491697,41.60612231982811,196.9696353398062 0.6070586383782928,41.60610914652636,196.9375396724537 
							","[[660 145]
 [673 150]
 [693 142]
 [678 138]]",R3-S44,Free,green
160,R3-S45,"
								0.6071236714871109,41.60609048474603,196.9761721287352 0.6071425933765862,41.60610443667564,196.9761715727784 0.6070979165708712,41.60613764618911,196.9761667247783 0.6070792574852146,41.60612408723441,196.9761695455872 0.6071236714871109,41.60609048474603,196.9761721287352 
							","[[682 150]
 [692 153]
 [710 147]
 [695 142]]",R3-S45,Free,green
161,R3-S46,"
								0.6071436445979761,41.60610581221846,196.9761715416561 0.6071628293228248,41.60611996065386,196.9761765339503 0.6071178897289187,41.6061533666711,196.9761717184871 0.6070992306006162,41.60613941475071,196.976164376462 0.6071436445979761,41.60610581221846,196.9761715416561 
							","[[697 153]
 [712 159]
 [731 152]
 [714 145]]",R3-S46,Free,green
162,R3-S47,"
								0.6071636270072434,41.60612112045968,196.9761694833427 0.6071829513663962,41.60613531852148,196.9761641600207 0.6071390934084109,41.60616848920078,196.9761705216946 0.6071190968719242,41.6061542911243,196.9761717637559 0.6071636270072434,41.60612112045968,196.9761694833427 
							","[[717 159]
 [732 164]
 [749 155]
 [736 152]]",R3-S47,Free,green
163,R3-S48,"
								0.6071841276442913,41.60613644934227,196.976168866556 0.607203139546284,41.60615039352837,197.0148031463193 0.6071594259825153,41.60618369246505,196.9761651870555 0.6071399335933125,41.60616936871751,196.9761703278878 0.6071841276442913,41.60613644934227,196.976168866556 
							","[[737 164]
 [752 169]
 [768 162]
 [751 157]]",R3-S48,Free,green
164,R5-S1,"
								0.606307275045761,41.60532229933003,196.7501757674628 0.6062918147444618,41.60531073626863,196.7830470525806 0.6063340657669625,41.60527821834358,196.7340592582654 0.6063519217252944,41.6052920317092,196.7518627540683 0.606307275045761,41.60532229933003,196.7501757674628 
							",,,,yellow
165,R5-S2,"
								0.6063111079186001,41.6053255059897,196.8068816387056 0.6063547511488898,41.6052934482912,196.7213568629274 0.606373306965593,41.60530779937528,196.724015534737 0.6063306432971949,41.60533997578789,196.8862025672993 0.6063111079186001,41.6053255059897,196.8068816387056 
							",,,,yellow
166,R5-S3,"
								0.6063343532907672,41.60534122175346,196.8221109384281 0.6063753213398604,41.6053088564544,196.7057314248725 0.6063934077927957,41.60532216915204,196.705731463068 0.6063511656756715,41.60535336111688,196.8988365827776 0.6063343532907672,41.60534122175346,196.8221109384281 
							",,,,yellow
167,R5-S4,"
								0.6063542066753835,41.60535605299812,196.8878056907185 0.606394539483317,41.60532377018466,196.7074574543592 0.6064138425915089,41.60533825028548,196.7591538363527 0.6063767344016879,41.60536425105001,197.2099898942689 0.6063542066753835,41.60535605299812,196.8878056907185 
							",,,,yellow
168,R5-S5,"
								0.6064157962133532,41.6053400619043,196.7652822884361 0.6064339467381363,41.60535340356386,196.7443637312012 0.6063920622323926,41.60538395875556,196.9043916722066 0.6063745548332822,41.60537262123385,196.9790672462927 0.6064157962133532,41.6053400619043,196.7652822884361 
							",,,,yellow
169,R5-S6,"
								0.606435089055577,41.60535459221298,196.7443637312012 0.6064529860615342,41.60536850132168,196.7757284072868 0.6064104728648312,41.60539971117413,196.8534321508563 0.6063922747344086,41.60538678635626,196.9037363292628 0.606435089055577,41.60535459221298,196.7443637312012 
							",,,,yellow
170,R5-S7,"
								0.606455405371007,41.60537073180286,196.784061839292 0.6064738139521064,41.6053844270652,196.8070232973523 0.6064286212386949,41.60541746581845,196.8278012286338 0.606412018139959,41.60540263728864,196.854339739756 0.606455405371007,41.60537073180286,196.784061839292 
							",,,,yellow
